screen_name,twitter_id,block,final_rank,block_rank,enhanced_score,hits_hub_score,cluster_score,pattern_score,# of Projects Followed,Avg Position
Nedimalkan54,1156698986998317056,authority,220,220,882.1446127857906,24.296297201117774,26.058903819966986,65.26,85,347.4
Mart07Alex,955337949276790784,authority,221,221,882.109891630727,7.8858723150163925,36.78231718805101,71.08,47,289.2
vevivoofficial,3238349841,authority,222,222,881.6775655405684,7.871976314210373,26.61943538020408,67.59,26,324.1
JMSCavalheiro,1059510515456765958,authority,223,223,881.1434171123469,16.232712305585533,26.425320191376763,66.37,65,336.3
adrien0x_,1447040748809977865,authority,224,224,880.5203572613713,21.092126539703397,27.359357482231204,64.59,71,354.1
eternalfubiki,1526510014793666561,authority,225,225,880.1043049353002,24.780639210571263,26.058903819966986,62.86,105,371.4
alanwwu,2254890900,authority,226,226,879.8604988177033,3.300653168345391,25.50984564935788,45.05,32,549.5
meguceth,932710522180591616,authority,227,227,879.6660378254466,20.070807327342287,27.359357482231204,64.22,63,357.8
jontyjr558844,1580982832612413441,authority,228,228,879.567494775319,11.004702066463102,26.058903819966986,72.24,36,277.6
muhnkee,1126018087,authority,229,229,879.1794682819674,1.9344374474243413,25.50984564935788,56.05,27,439.5
prettysurepoor,865163438204628992,authority,230,230,879.0654705791039,11.19015038772718,26.425320191376763,68.2,50,318.0
ghostchaindoc,1419647493084643328,authority,231,231,878.5211386371114,10.418318445734691,26.425320191376763,68.24,40,317.6
Kristian_cy,1376511900821901312,authority,232,232,877.9177637164152,16.492508230991678,25.50984564935788,66.94,61,330.6
0xYelf,1452979796145840140,authority,233,233,877.0063732549462,6.934992457508909,26.425320191376763,78.53999999999999,33,214.6
heneseyyy,729050562,authority,234,234,876.6677043968683,2.0162303593378055,26.425320191376763,61.629999999999995,26,383.7
crypto_alien__,1288146904098803712,authority,235,235,876.3730819666674,8.123200371781861,26.425320191376763,72.5,57,275.0
wagmivelli,478243955,authority,236,236,876.25170417124,3.6885578929068594,26.425320191376763,82.28999999999999,23,177.1
CryptoBoom_X,1615052575870488596,authority,237,237,876.1932625744034,11.463139242241233,26.058903819966986,68.72,41,312.8
schneckfrosch,1368211720502718466,authority,238,238,876.1508580786017,16.6777505963705,27.359357482231204,79.02000000000001,32,209.8
Livkid12,1070609071,authority,239,239,876.0326993959982,10.631675247100409,27.359357482231204,78.25,24,217.5
